Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Week,Team_Abb
,Atlanta,--,--,--,--,--,257.4,1,ATL
,New Orleans,--,--,--,--,--,346.7,1,NO
,NY Giants,--,--,--,--,--,293.9,1,NYG
,NY Jets,--,--,--,--,--,206.1,1,NYJ
,Philadelphia,--,--,--,--,--,256.9,1,PHI
,Arizona,--,--,--,--,--,222.9,1,ARI
,Pittsburgh,--,--,--,--,--,252.8,1,PIT
,LA Chargers,--,--,--,--,--,276.6,1,SD
,San Francisco,--,--,--,--,--,187.3,1,SF
,Seattle,--,--,--,--,--,194.1,1,SEA
,Tampa Bay,--,--,--,--,--,228.1,1,TB
,Washington,--,--,--,--,--,235.8,1,WAS
,Carolina,--,--,--,--,--,239.1,1,CAR
,Jacksonville,--,--,--,--,--,136.2,1,JAX
,Baltimore,--,--,--,--,--,213.6,1,BAL
,New England,--,--,--,--,--,313.2,1,NE
,Minnesota,--,--,--,--,--,184.8,1,MIN
,Buffalo,--,--,--,--,--,231.6,1,BUF
,Chicago,--,--,--,--,--,188.2,1,CHI
,Cincinnati,--,--,--,--,--,209.6,1,CIN
,Cleveland,--,--,--,--,--,193.1,1,CLE
,Dallas,--,--,--,--,--,262.6,1,DAL
,Denver,--,--,--,--,--,158.8,1,DEN
,Detroit,--,--,--,--,--,305.5,1,DET
,Green Bay,--,--,--,--,--,303.8,1,GB
,Tennessee,--,--,--,--,--,245.2,1,TEN
,Indianapolis,--,--,--,--,--,187.2,1,IND
,Kansas City,--,--,--,--,--,192.5,1,KC
,Las Vegas,--,--,--,--,--,247.6,1,OAK
,LA Rams,--,--,--,--,--,179.4,1,STL
,Miami,--,--,--,--,--,193.2,1,MIA
,Houston,--,--,--,--,--,213.4,1,HOU
1,Detroit,346.0,346.0,346.0,346.0,--,305.5,2,DET
2,New Orleans,326.0,326.0,326.0,326.0,--,346.7,2,NO
3,Chicago,314.0,314.0,314.0,314.0,--,188.2,2,CHI
4,Baltimore,308.0,308.0,308.0,308.0,--,213.6,2,BAL
5,Washington,306.0,306.0,306.0,--,306.0,235.8,2,WAS
5,Philadelphia,306.0,306.0,306.0,--,306.0,256.9,2,PHI
7,Indianapolis,293.0,293.0,293.0,--,293.0,187.2,2,IND
8,Atlanta,292.0,292.0,292.0,--,292.0,257.4,2,ATL
9,Carolina,291.0,291.0,291.0,--,291.0,239.1,2,CAR
10,Dallas,290.0,290.0,290.0,--,290.0,262.6,2,DAL
11,Green Bay,279.0,279.0,279.0,279.0,--,303.8,2,GB
12,Las Vegas,276.0,276.0,276.0,276.0,--,247.6,2,OAK
13,NY Jets,266.0,266.0,266.0,266.0,--,206.1,2,NYJ
13,Minnesota,266.0,266.0,266.0,266.0,--,184.8,2,MIN
15,Tennessee,264.0,264.0,264.0,264.0,--,245.2,2,TEN
16,Houston,254.0,254.0,254.0,254.0,--,213.4,2,HOU
17,Jacksonville,249.0,249.0,249.0,--,249.0,136.2,2,JAX
18,Kansas City,241.0,241.0,241.0,241.0,--,192.5,2,KC
19,Denver,240.0,240.0,240.0,240.0,--,158.8,2,DEN
20,New England,228.0,228.0,228.0,--,228.0,313.2,2,NE
21,LA Chargers,226.0,226.0,226.0,--,226.0,276.6,2,SD
22,Arizona,210.0,210.0,210.0,210.0,--,222.9,2,ARI
23,Pittsburgh,209.0,209.0,209.0,--,209.0,252.8,2,PIT
24,Miami,196.0,196.0,196.0,--,196.0,193.2,2,MIA
25,Buffalo,195.0,195.0,195.0,--,195.0,231.6,2,BUF
26,Cincinnati,193.0,193.0,193.0,--,193.0,209.6,2,CIN
27,San Francisco,191.0,191.0,191.0,--,191.0,187.3,2,SF
28,NY Giants,187.0,187.0,187.0,187.0,--,293.9,2,NYG
29,LA Rams,173.0,173.0,173.0,--,173.0,179.4,2,STL
30,Seattle,139.0,139.0,139.0,--,139.0,194.1,2,SEA
31,Tampa Bay,128.0,128.0,128.0,128.0,--,228.1,2,TB
32,Cleveland,111.0,111.0,111.0,111.0,--,193.1,2,CLE
1,NY Giants,348.5,348.5,510.0,348.5,--,293.9,3,NYG
2,Philadelphia,331.5,331.5,357.0,357.0,306.0,256.9,3,PHI
3,Las Vegas,324.5,324.5,373.0,276.0,373.0,247.6,3,OAK
3,New Orleans,324.5,324.5,323.0,326.0,323.0,346.7,3,NO
5,Detroit,280.0,280.0,214.0,346.0,214.0,305.5,3,DET
6,Dallas,268.5,268.5,247.0,--,268.5,262.6,3,DAL
7,Carolina,267.5,267.5,244.0,244.0,291.0,239.1,3,CAR
8,New England,262.5,262.5,297.0,297.0,228.0,313.2,3,NE
9,Baltimore,261.0,261.0,214.0,308.0,214.0,213.6,3,BAL
10,Kansas City,256.5,256.5,272.0,241.0,272.0,192.5,3,KC
11,Washington,251.5,251.5,197.0,--,251.5,235.8,3,WAS
12,Atlanta,250.0,250.0,208.0,208.0,292.0,257.4,3,ATL
13,Minnesota,249.0,249.0,232.0,266.0,232.0,184.8,3,MIN
