Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Week,Team_Abb
,Atlanta,--,--,--,--,--,23.8,1,ATL
,New Orleans,--,--,--,--,--,34.7,1,NO
,NY Giants,--,--,--,--,--,24.8,1,NYG
,NY Jets,--,--,--,--,--,23.6,1,NYJ
,Philadelphia,--,--,--,--,--,24.8,1,PHI
,Arizona,--,--,--,--,--,19.5,1,ARI
,Pittsburgh,--,--,--,--,--,20.5,1,PIT
,LA Chargers,--,--,--,--,--,25.4,1,SD
,San Francisco,--,--,--,--,--,24.1,1,SF
,Seattle,--,--,--,--,--,20.1,1,SEA
,Tampa Bay,--,--,--,--,--,17.9,1,TB
,Washington,--,--,--,--,--,18.0,1,WAS
,Carolina,--,--,--,--,--,25.4,1,CAR
,Jacksonville,--,--,--,--,--,15.2,1,JAX
,Baltimore,--,--,--,--,--,23.2,1,BAL
,New England,--,--,--,--,--,31.5,1,NE
,Minnesota,--,--,--,--,--,21.3,1,MIN
,Buffalo,--,--,--,--,--,23.3,1,BUF
,Chicago,--,--,--,--,--,22.1,1,CHI
,Cincinnati,--,--,--,--,--,20.8,1,CIN
,Cleveland,--,--,--,--,--,13.6,1,CLE
,Dallas,--,--,--,--,--,23.1,1,DAL
,Denver,--,--,--,--,--,19.3,1,DEN
,Detroit,--,--,--,--,--,29.5,1,DET
,Green Bay,--,--,--,--,--,34.1,1,GB
,Tennessee,--,--,--,--,--,20.3,1,TEN
,Indianapolis,--,--,--,--,--,15.2,1,IND
,Kansas City,--,--,--,--,--,13.3,1,KC
,Las Vegas,--,--,--,--,--,22.4,1,OAK
,LA Rams,--,--,--,--,--,12.1,1,STL
,Miami,--,--,--,--,--,20.6,1,MIA
,Houston,--,--,--,--,--,23.6,1,HOU
1,NY Jets,48.0,48.0,48.0,48.0,--,23.6,2,NYJ
2,Baltimore,44.0,44.0,44.0,44.0,--,23.2,2,BAL
3,Chicago,41.0,41.0,41.0,41.0,--,22.1,2,CHI
4,Atlanta,40.0,40.0,40.0,--,40.0,23.8,2,ATL
4,Washington,40.0,40.0,40.0,--,40.0,18.0,2,WAS
6,New England,34.0,34.0,34.0,--,34.0,31.5,2,NE
