Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Week,Team_Abb
,Atlanta,--,--,--,--,--,111.6,1,ATL
,New Orleans,--,--,--,--,--,129.5,1,NO
,NY Giants,--,--,--,--,--,94.7,1,NYG
,NY Jets,--,--,--,--,--,105.8,1,NYJ
,Philadelphia,--,--,--,--,--,142.3,1,PHI
,Arizona,--,--,--,--,--,101.6,1,ARI
,Pittsburgh,--,--,--,--,--,121.1,1,PIT
,LA Chargers,--,--,--,--,--,116.5,1,SD
,San Francisco,--,--,--,--,--,129.8,1,SF
,Seattle,--,--,--,--,--,109.8,1,SEA
,Tampa Bay,--,--,--,--,--,91.1,1,TB
,Washington,--,--,--,--,--,100.9,1,WAS
,Carolina,--,--,--,--,--,150.5,1,CAR
,Jacksonville,--,--,--,--,--,123.1,1,JAX
,Baltimore,--,--,--,--,--,122.2,1,BAL
,New England,--,--,--,--,--,109.9,1,NE
,Minnesota,--,--,--,--,--,144.9,1,MIN
,Buffalo,--,--,--,--,--,120.1,1,BUF
,Chicago,--,--,--,--,--,125.9,1,CHI
,Cincinnati,--,--,--,--,--,109.1,1,CIN
,Cleveland,--,--,--,--,--,95.7,1,CLE
,Dallas,--,--,--,--,--,112.9,1,DAL
,Denver,--,--,--,--,--,161.5,1,DEN
,Detroit,--,--,--,--,--,91.5,1,DET
,Green Bay,--,--,--,--,--,100.3,1,GB
,Tennessee,--,--,--,--,--,89.9,1,TEN
,Indianapolis,--,--,--,--,--,99.6,1,IND
,Kansas City,--,--,--,--,--,118.3,1,KC
,Las Vegas,--,--,--,--,--,131.9,1,OAK
,LA Rams,--,--,--,--,--,104.2,1,STL
,Miami,--,--,--,--,--,124.2,1,MIA
,Houston,--,--,--,--,--,153.7,1,HOU
1,Buffalo,195.0,195.0,195.0,--,195.0,120.1,2,BUF
2,San Francisco,186.0,186.0,186.0,--,186.0,129.8,2,SF
3,New England,162.0,162.0,162.0,--,162.0,109.9,2,NE
4,Washington,153.0,153.0,153.0,--,153.0,100.9,2,WAS
5,Kansas City,152.0,152.0,152.0,152.0,--,118.3,2,KC
6,Philadelphia,150.0,150.0,150.0,--,150.0,142.3,2,PHI
7,Dallas,143.0,143.0,143.0,--,143.0,112.9,2,DAL
8,Tampa Bay,130.0,130.0,130.0,130.0,--,91.1,2,TB
9,Cincinnati,129.0,129.0,129.0,--,129.0,109.1,2,CIN
10,Minnesota,123.0,123.0,123.0,123.0,--,144.9,2,MIN
11,Baltimore,122.0,122.0,122.0,122.0,--,122.2,2,BAL
12,NY Jets,118.0,118.0,118.0,118.0,--,105.8,2,NYJ
13,Seattle,115.0,115.0,115.0,--,115.0,109.8,2,SEA
14,Chicago,114.0,114.0,114.0,114.0,--,125.9,2,CHI
15,Jacksonville,113.0,113.0,113.0,--,113.0,123.1,2,JAX
16,Cleveland,99.0,99.0,99.0,99.0,--,95.7,2,CLE
17,Denver,94.0,94.0,94.0,94.0,--,161.5,2,DEN
18,Atlanta,84.0,84.0,84.0,--,84.0,111.6,2,ATL
19,Houston,83.0,83.0,83.0,83.0,--,153.7,2,HOU
19,Detroit,83.0,83.0,83.0,83.0,--,91.5,2,DET
21,NY Giants,82.0,82.0,82.0,82.0,--,94.7,2,NYG
22,Miami,79.0,79.0,79.0,--,79.0,124.2,2,MIA
23,LA Rams,77.0,77.0,77.0,--,77.0,104.2,2,STL
24,Pittsburgh,75.0,75.0,75.0,--,75.0,121.1,2,PIT
25,Indianapolis,63.0,63.0,63.0,--,63.0,99.6,2,IND
26,Las Vegas,45.0,45.0,45.0,45.0,--,131.9,2,OAK
26,Green Bay,45.0,45.0,45.0,45.0,--,100.3,2,GB
28,Arizona,43.0,43.0,43.0,43.0,--,101.6,2,ARI
29,LA Chargers,32.0,32.0,32.0,--,32.0,116.5,2,SD
29,New Orleans,32.0,32.0,32.0,32.0,--,129.5,2,NO
31,Tennessee,20.0,20.0,20.0,20.0,--,89.9,2,TEN
32,Carolina,10.0,10.0,10.0,--,10.0,150.5,2,CAR
1,Buffalo,198.0,198.0,201.0,201.0,195.0,120.1,3,BUF
2,Miami,171.0,171.0,263.0,263.0,79.0,124.2,3,MIA
3,San Francisco,167.0,167.0,148.0,148.0,186.0,129.8,3,SF
4,Washington,164.5,164.5,176.0,--,164.5,100.9,3,WAS
5,Kansas City,151.0,151.0,150.0,152.0,150.0,118.3,3,KC
6,Houston,149.5,149.5,216.0,83.0,216.0,153.7,3,HOU
7,Seattle,148.5,148.5,182.0,182.0,115.0,109.8,3,SEA
8,Philadelphia,139.5,139.5,129.0,129.0,150.0,142.3,3,PHI
9,New England,126.0,126.0,90.0,90.0,162.0,109.9,3,NE
10,Baltimore,116.5,116.5,111.0,122.0,111.0,122.2,3,BAL
11,Cleveland,114.5,114.5,130.0,99.0,130.0,95.7,3,CLE
11,Carolina,114.5,114.5,219.0,219.0,10.0,150.5,3,CAR
13,LA Rams,114.0,114.0,151.0,151.0,77.0,104.2,3,STL
14,Minnesota,109.0,109.0,95.0,123.0,95.0,144.9,3,MIN
15,Denver,106.0,106.0,118.0,94.0,118.0,161.5,3,DEN
16,Tampa Bay,104.5,104.5,79.0,130.0,79.0,91.1,3,TB
16,Cincinnati,104.5,104.5,80.0,80.0,129.0,109.1,3,CIN
18,Chicago,104.0,104.0,94.0,114.0,94.0,125.9,3,CHI
18,NY Jets,104.0,104.0,90.0,118.0,90.0,105.8,3,NYJ
20,New Orleans,97.5,97.5,163.0,32.0,163.0,129.5,3,NO
21,Dallas,96.0,96.0,49.0,--,96.0,112.9,3,DAL
22,LA Chargers,90.0,90.0,148.0,148.0,32.0,116.5,3,SD
23,Jacksonville,89.0,89.0,65.0,65.0,113.0,123.1,3,JAX
24,NY Giants,88.0,88.0,94.0,88.0,--,94.7,3,NYG
25,Detroit,82.5,82.5,82.0,83.0,82.0,91.5,3,DET
26,Atlanta,75.5,75.5,67.0,67.0,84.0,111.6,3,ATL
26,Green Bay,75.5,75.5,106.0,75.5,--,100.3,3,GB
28,Arizona,74.0,74.0,105.0,43.0,105.0,101.6,3,ARI
29,Indianapolis,73.5,73.5,84.0,84.0,63.0,99.6,3,IND
30,Pittsburgh,70.5,70.5,66.0,66.0,75.0,121.1,3,PIT
31,Las Vegas,34.0,34.0,23.0,45.0,23.0,131.9,3,OAK
32,Tennessee,29.0,29.0,38.0,20.0,38.0,89.9,3,TEN
1,Kansas City,191.7,191.7,273.0,152.0,211.5,118.3,4,KC
2,Washington,180.7,180.7,213.0,213.0,164.5,100.9,4,WAS
3,Buffalo,178.0,178.0,138.0,201.0,166.5,120.1,4,BUF
4,Miami,175.7,175.7,185.0,224.0,79.0,124.2,4,MIA
5,Houston,150.3,150.3,152.0,83.0,184.0,153.7,4,HOU
6,Seattle,141.3,141.3,127.0,154.5,115.0,109.8,4,SEA
7,San Francisco,141.0,141.0,89.0,148.0,137.5,129.8,4,SF
8,Philadelphia,130.7,130.7,113.0,129.0,131.5,142.3,4,PHI
9,Minnesota,121.3,121.3,146.0,134.5,95.0,144.9,4,MIN
10,Jacksonville,121.0,121.0,185.0,65.0,149.0,123.1,4,JAX
11,Baltimore,118.0,118.0,121.0,121.5,111.0,122.2,4,BAL
12,New England,109.7,109.7,77.0,90.0,119.5,109.9,4,NE
13,Chicago,103.7,103.7,103.0,108.5,94.0,125.9,4,CHI
14,Detroit,102.0,102.0,141.0,83.0,111.5,91.5,4,DET
15,Cincinnati,100.7,100.7,93.0,80.0,111.0,109.1,4,CIN
16,NY Jets,100.3,100.3,93.0,118.0,91.5,105.8,4,NYJ
16,NY Giants,100.3,100.3,125.0,88.0,125.0,94.7,4,NYG
18,LA Chargers,98.7,98.7,116.0,132.0,32.0,116.5,4,SD
19,Carolina,96.3,96.3,60.0,139.5,10.0,150.5,4,CAR
20,LA Rams,95.7,95.7,59.0,151.0,68.0,104.2,4,STL
21,Tampa Bay,94.7,94.7,75.0,130.0,77.0,91.1,4,TB
22,New Orleans,92.7,92.7,83.0,57.5,163.0,129.5,4,NO
23,Denver,90.3,90.3,59.0,76.5,118.0,161.5,4,DEN
23,Indianapolis,90.3,90.3,124.0,104.0,63.0,99.6,4,IND
25,Atlanta,90.0,90.0,119.0,67.0,101.5,111.6,4,ATL
26,Cleveland,87.3,87.3,33.0,66.0,130.0,95.7,4,CLE
27,Arizona,82.3,82.3,99.0,71.0,105.0,101.6,4,ARI
28,Green Bay,78.3,78.3,84.0,75.5,84.0,100.3,4,GB
29,Dallas,76.7,76.7,38.0,38.0,96.0,112.9,4,DAL
30,Pittsburgh,65.0,65.0,54.0,66.0,64.5,121.1,4,PIT
31,Las Vegas,62.3,62.3,119.0,82.0,23.0,131.9,4,OAK
32,Tennessee,39.0,39.0,59.0,39.5,38.0,89.9,4,TEN
1,Washington,173.8,180.7,153.0,213.0,160.7,100.9,5,WAS
2,Kansas City,172.5,179.3,115.0,133.5,211.5,118.3,5,KC
3,San Francisco,167.0,160.7,245.0,148.0,173.3,129.8,5,SF
4,Buffalo,158.0,145.7,98.0,149.5,166.5,120.1,5,BUF
5,Miami,153.3,178.0,86.0,224.0,82.5,124.2,5,MIA
6,Seattle,150.8,162.7,179.0,154.5,147.0,109.8,5,SEA
7,Philadelphia,145.8,144.3,191.0,160.0,131.5,142.3,5,PHI
8,New England,144.0,138.0,247.0,90.0,162.0,109.9,5,NE
9,Houston,136.5,154.3,95.0,89.0,184.0,153.7,5,HOU
10,Minnesota,122.8,122.7,127.0,134.5,111.0,144.9,5,MIN
11,Carolina,122.0,159.3,199.0,139.5,104.5,150.5,5,CAR
