Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Week,Team_Abb
,Atlanta,--,--,--,--,--,+0.5,1,ATL
,New Orleans,--,--,--,--,--,-0.4,1,NO
,NY Giants,--,--,--,--,--,+0.7,1,NYG
,NY Jets,--,--,--,--,--,-0.2,1,NYJ
,Philadelphia,--,--,--,--,--,-0.9,1,PHI
,Arizona,--,--,--,--,--,-0.8,1,ARI
,Pittsburgh,--,--,--,--,--,-0.8,1,PIT
,LA Chargers,--,--,--,--,--,-0.4,1,SD
,San Francisco,--,--,--,--,--,+1.7,1,SF
,Seattle,--,--,--,--,--,+0.5,1,SEA
,Tampa Bay,--,--,--,--,--,-1.0,1,TB
,Washington,--,--,--,--,--,-0.9,1,WAS
,Carolina,--,--,--,--,--,+0.1,1,CAR
,Jacksonville,--,--,--,--,--,+0.3,1,JAX
,Baltimore,--,--,--,--,--,+0.4,1,BAL
,New England,--,--,--,--,--,+0.7,1,NE
,Minnesota,--,--,--,--,--,-0.2,1,MIN
,Buffalo,--,--,--,--,--,+0.1,1,BUF
,Chicago,--,--,--,--,--,+0.1,1,CHI
,Cincinnati,--,--,--,--,--,-0.2,1,CIN
,Cleveland,--,--,--,--,--,+0.1,1,CLE
,Dallas,--,--,--,--,--,+0.3,1,DAL
,Denver,--,--,--,--,--,-0.6,1,DEN
,Detroit,--,--,--,--,--,+0.6,1,DET
,Green Bay,--,--,--,--,--,+1.2,1,GB
,Tennessee,--,--,--,--,--,+0.1,1,TEN
,Indianapolis,--,--,--,--,--,-0.8,1,IND
,Kansas City,--,--,--,--,--,-0.1,1,KC
,Las Vegas,--,--,--,--,--,-0.3,1,OAK
,LA Rams,--,--,--,--,--,-0.3,1,STL
,Miami,--,--,--,--,--,-0.4,1,MIA
,Houston,--,--,--,--,--,+0.3,1,HOU
1,Houston,+4.0,+4.0,+4.0,+4.0,--,+0.3,2,HOU
1,Chicago,+4.0,+4.0,+4.0,+4.0,--,+0.1,2,CHI
3,Washington,+3.0,+3.0,+3.0,--,+3.0,-0.9,2,WAS
3,NY Jets,+3.0,+3.0,+3.0,+3.0,--,-0.2,2,NYJ
3,Atlanta,+3.0,+3.0,+3.0,--,+3.0,+0.5,2,ATL
3,LA Rams,+3.0,+3.0,+3.0,--,+3.0,-0.3,2,STL
