home,away,week,home_pass,away_pass,home_rush,away_rush,home_points,away_points,home_turnover,away_turnover,home_win
MIN,JAX,1,184.8,136.2,144.9,123.1,21.3,15.2,-0.2,0.3,1
KC,ATL,1,192.5,257.4,118.3,111.6,13.3,23.8,-0.1,0.5,0
NYG,DAL,1,293.9,262.6,94.7,112.9,24.8,23.1,0.7,0.3,0
NO,WAS,1,346.7,235.8,129.5,100.9,34.7,18.0,-0.4,-0.9,0
OAK,SD,1,247.6,276.6,131.9,116.5,22.4,25.4,-0.3,-0.4,0
GB,SF,1,303.8,187.3,100.3,129.8,34.1,24.1,1.2,1.7,0
CLE,PHI,1,193.1,256.9,95.7,142.3,13.6,24.8,0.1,-0.9,0
TEN,NE,1,245.2,313.2,89.9,109.9,20.3,31.5,0.1,0.7,0
ARI,SEA,1,222.9,194.1,101.6,109.8,19.5,20.1,-0.8,0.5,1
DET,STL,1,305.5,179.4,91.5,104.2,29.5,12.1,0.6,-0.3,1
TB,CAR,1,228.1,239.1,91.1,150.5,17.9,25.4,-1.0,0.1,1
BAL,CIN,1,213.6,209.6,122.2,109.1,23.2,20.8,0.4,-0.2,1
HOU,MIA,1,213.4,193.2,153.7,124.2,23.6,20.6,0.3,-0.4,1
NYJ,BUF,1,206.1,231.6,105.8,120.1,23.6,23.3,-0.2,0.1,1
DEN,PIT,1,158.8,252.8,161.5,121.1,19.3,20.5,-0.6,-0.8,1
CHI,IND,1,188.2,187.2,125.9,99.6,22.1,15.2,0.1,-0.8,1
SF,DET,2,191.0,346.0,186.0,83.0,30.0,27.0,1.0,-3.0,1
SD,TEN,2,226.0,264.0,32.0,20.0,22.0,13.0,1.0,-2.0,1
MIA,OAK,2,196.0,276.0,79.0,45.0,10.0,14.0,-4.0,-1.0,1
ATL,DEN,2,292.0,240.0,84.0,94.0,40.0,31.0,3.0,0.0,1
CIN,CLE,2,193.0,111.0,129.0,99.0,13.0,16.0,-2.0,1.0,1
